stock  init_fecundity_per_szgroup
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
2 97.47
2 1407.23
2 6708.35
2 20316.2
2 47985.58
2 96848.55
2 175368.7
2 293305.13
2 461682.94
2 692768.22
2 1000046.42
2 1398203.42
2 1903108.57
2 2531799.51
3 23.53
3 400.05
3 2098.57
3 6801.98
3 16934.57
3 35681.53
3 67004.18
3 115652.64
3 187176.67
3 287935.1
3 425104.29
3 606685.74
3 841513.04
3 1139258.24
4 362.88
4 2708.66
4 8778.47
4 20218.15
4 38617.17
4 65524.85
4 102459.38
4 150913.59
4 212359
4 288248.72
4 380019.76
4 489094.75
4 616883.44
4 764783.83
5 100000
5 100000
5 100000
5 100000
5 100000
5 100000
5 100000
5 100000
5 100000
5 100000
5 100000
5 100000
5 100000
5 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
7 100000
7 100000
7 100000
7 100000
7 100000
7 100000
7 100000
7 100000
7 100000
7 100000
7 100000
7 100000
7 100000
7 100000
8 327.24
8 2978.53
8 10840.86
8 27110.87
8 55197.34
8 98674.62
8 161254.31
8 246765.97
8 359143.03
8 502411.95
8 680683.67
8 898146.63
8 1159060.93
8 1467753.43
9 100000
9 100000
9 100000
9 100000
9 100000
9 100000
9 100000
9 100000
9 100000
9 100000
9 100000
9 100000
9 100000
9 100000
10 1000.73
10 8456.47
10 29469.59
10 71459.58
10 142051.69
10 249026.44
10 400289.89
10 603853.84
10 867821.58
10 1200377.26
10 1609777.44
10 2104344.39
10 2692460.51
10 3382563.69
11 1091.75
11 9104.86
11 31485.63
11 75932.02
11 150303.68
11 262581.56
11 420844.26
11 633252.28
11 908036.86
11 1253491.52
11 1677965.46
11 2189858.3
11 2797615.71
11 3509725.81
12 100000
12 100000
12 100000
12 100000
12 100000
12 100000
12 100000
12 100000
12 100000
12 100000
12 100000
12 100000
12 100000
12 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
15 100000
15 100000
15 100000
15 100000
15 100000
15 100000
15 100000
15 100000
15 100000
15 100000
15 100000
15 100000
15 100000
15 100000
16 100000
16 100000
16 100000
16 100000
16 100000
16 100000
16 100000
16 100000
16 100000
16 100000
16 100000
16 100000
16 100000
16 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
19 100000
19 100000
19 100000
19 100000
19 100000
19 100000
19 100000
19 100000
19 100000
19 100000
19 100000
19 100000
19 100000
19 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
21 100000
21 100000
21 100000
21 100000
21 100000
21 100000
21 100000
21 100000
21 100000
21 100000
21 100000
21 100000
21 100000
21 100000
22 214.65
22 2386.11
22 9761.95
22 26524.6
22 57593.35
22 108516.43
22 185399.61
22 294854.41
22 443958.31
22 640222.84
22 891567.42
22 1206297.21
22 1593084.22
22 2060950.86
23 107.33
23 1193.05
23 4880.98
23 13262.3
23 28796.68
23 54258.22
23 92699.8
23 147427.21
23 221979.15
23 320111.42
23 445783.71
23 603148.6
23 796542.11
23 1030475.43
24 107.33
24 1193.05
24 4880.98
24 13262.3
24 28796.68
24 54258.22
24 92699.8
24 147427.21
24 221979.15
24 320111.42
24 445783.71
24 603148.6
24 796542.11
24 1030475.43
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
26 100000
26 100000
26 100000
26 100000
26 100000
26 100000
26 100000
26 100000
26 100000
26 100000
26 100000
26 100000
26 100000
26 100000
27 107.33
27 1193.05
27 4880.98
27 13262.3
27 28796.68
27 54258.22
27 92699.8
27 147427.21
27 221979.15
27 320111.42
27 445783.71
27 603148.6
27 796542.11
27 1030475.43
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
29 100000
29 100000
29 100000
29 100000
29 100000
29 100000
29 100000
29 100000
29 100000
29 100000
29 100000
29 100000
29 100000
29 100000
30 100000
30 100000
30 100000
30 100000
30 100000
30 100000
30 100000
30 100000
30 100000
30 100000
30 100000
30 100000
30 100000
30 100000
